id;bandeira;numero;cv;nome_cartao
1;MASTER;Home Loan Account Table Computer;Trace;Savings Account alarm
2;MASTER;red Chips Soap;Home Loan Account;web-readiness
3;MASTER;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire
4;MASTER;Table Small Frozen Sausages Planner;envisioneer Music Public-key;infomediaries
5;MASTER;Games Regional Digitized;copy convergence;Mayotte
6;MASTER;connect Markets Chief;capacitor archive;sky blue Tasty Plastic Pizza
7;MASTER;compelling mission-critical;bifurcated scalable;Small
8;MASTER;overriding;monitor 1080p Checking Account;world-class Frozen IB
9;MASTER;moratorium moratorium;New York tangible Mississippi;Frozen bus
10;MASTER;Poland;Small partnerships;Outdoors
